100000    (0.046875, 109437)
101000    (0.046875, 128876)
102000    (0.03125, 161668)
103000    (0.125, 204374)
104000    (0.03125, 121194)
105000    (0.03125, 170270)
106000    (0.0625, 126215)
107000    (0.046875, 152981)
108000    (0.03125, 158714)
109000    (0.0625, 192435)
110000    (0.0625, 186565)
111000    (0.09375, 220000)
112000    (0.0625, 187263)
113000    (0.046875, 176410)
114000    (0.046875, 174476)
115000    (0.0625, 190818)
116000    (0.046875, 150302)
117000    (0.046875, 132598)
118000    (0.0625, 215569)
119000    (0.0625, 154269)
120000    (0.0625, 174461)
121000    (0.046875, 136728)
122000    (0.046875, 164744)
123000    (0.078125, 134834)
124000    (0.09375, 225154)
125000    (0.09375, 217999)
126000    (0.0625, 140881)
127000    (0.0625, 169371)
128000    (0.09375, 236243)
129000    (0.0625, 168367)
130000    (0.0625, 229929)
131000    (0.078125, 156412)
132000    (0.046875, 214347)
133000    (0.078125, 228808)
134000    (0.109375, 253961)
135000    (0.0625, 223234)
136000    (0.046875, 205597)
137000    (0.0625, 208782)
138000    (0.03125, 206142)
139000    (0.0625, 197592)
140000    (0.078125, 255358)
141000    (0.046875, 204776)
142000    (0.0625, 182745)
143000    (0.078125, 168186)
144000    (0.0625, 245524)
145000    (0.078125, 200447)
146000    (0.078125, 237253)
147000    (0.0625, 225531)
148000    (0.125, 257891)
149000    (0.078125, 265680)
150000    (0.078125, 176419)
