100000    (0.03125, 120244)
101000    (0.03125, 125960)
102000    (0.03125, 124920)
103000    (0.015625, 128666)
104000    (0.015625, 126652)
105000    (0.03125, 131125)
106000    (0.046875, 116309)
107000    (0.015625, 133691)
108000    (0.0625, 110731)
109000    (0.046875, 130346)
110000    (0.046875, 136242)
111000    (0.046875, 137801)
112000    (0.0625, 128833)
113000    (0.046875, 125388)
114000    (0.046875, 142096)
115000    (0.046875, 142847)
116000    (0.03125, 116272)
117000    (0.046875, 138422)
118000    (0.03125, 146120)
119000    (0.0625, 141430)
120000    (0.046875, 149840)
121000    (0.0625, 146661)
122000    (0.046875, 141441)
123000    (0.0625, 147009)
124000    (0.046875, 152265)
125000    (0.046875, 152962)
126000    (0.0625, 146789)
127000    (0.03125, 147000)
128000    (0.0625, 147360)
129000    (0.078125, 142443)
130000    (0.03125, 162611)
131000    (0.0625, 135456)
132000    (0.046875, 150066)
133000    (0.046875, 166176)
134000    (0.046875, 154901)
135000    (0.0625, 138516)
136000    (0.046875, 152088)
137000    (0.046875, 170799)
138000    (0.046875, 163839)
139000    (0.0625, 143513)
140000    (0.046875, 149815)
141000    (0.03125, 175409)
142000    (0.046875, 171692)
143000    (0.046875, 162645)
144000    (0.0625, 169661)
145000    (0.046875, 179831)
146000    (0.09375, 147735)
147000    (0.0625, 174523)
148000    (0.078125, 181869)
149000    (0.0625, 174387)
150000    (0.0625, 172364)
