100000    (0.375, 199994)
101000    (0.40625, 201998)
102000    (0.40625, 203999)
103000    (0.390625, 205999)
104000    (0.421875, 207999)
105000    (0.421875, 209999)
106000    (0.484375, 211998)
107000    (0.4375, 213999)
108000    (0.453125, 215999)
109000    (0.546875, 217999)
110000    (0.546875, 219999)
111000    (0.5625, 221993)
112000    (0.546875, 223999)
113000    (0.578125, 225999)
114000    (0.515625, 227996)
115000    (0.53125, 229998)
116000    (0.46875, 231999)
117000    (0.5625, 233999)
118000    (0.53125, 235999)
119000    (0.515625, 237998)
120000    (0.515625, 239998)
121000    (0.53125, 241999)
122000    (0.578125, 243999)
123000    (0.59375, 245998)
124000    (0.5, 247998)
125000    (0.546875, 249997)
126000    (0.53125, 251998)
127000    (0.5625, 253998)
128000    (0.828125, 255999)
129000    (0.5625, 257997)
130000    (0.734375, 259998)
131000    (0.734375, 261999)
132000    (0.625, 263997)
133000    (0.59375, 265997)
134000    (0.5625, 267994)
135000    (0.71875, 269999)
136000    (0.703125, 271999)
137000    (0.9375, 273998)
138000    (0.8125, 275996)
139000    (0.84375, 277998)
140000    (0.734375, 279999)
141000    (0.65625, 281996)
142000    (0.734375, 283997)
143000    (0.625, 285997)
144000    (0.671875, 287999)
145000    (0.65625, 289997)
146000    (0.65625, 291998)
147000    (0.671875, 293997)
148000    (0.78125, 295998)
149000    (0.796875, 297999)
150000    (0.84375, 299997)
