100000    (0.234375, 124484)
101000    (0.21875, 113343)
102000    (0.25, 104264)
103000    (0.234375, 127541)
104000    (0.28125, 124168)
105000    (0.234375, 113426)
106000    (0.234375, 128602)
107000    (0.25, 133525)
108000    (0.25, 108753)
109000    (0.234375, 132179)
110000    (0.25, 130745)
111000    (0.265625, 131834)
112000    (0.28125, 136437)
113000    (0.28125, 139851)
114000    (0.28125, 121423)
115000    (0.28125, 125419)
116000    (0.28125, 144710)
117000    (0.28125, 142872)
118000    (0.3125, 132121)
119000    (0.296875, 147253)
120000    (0.28125, 148163)
121000    (0.296875, 149332)
122000    (0.296875, 148062)
123000    (0.328125, 126034)
124000    (0.4375, 148269)
125000    (0.34375, 136153)
126000    (0.375, 134560)
127000    (0.359375, 144848)
128000    (0.328125, 149963)
129000    (0.375, 129135)
130000    (0.390625, 162396)
131000    (0.359375, 148908)
132000    (0.34375, 164299)
133000    (0.34375, 160913)
134000    (0.328125, 167194)
135000    (0.34375, 167995)
136000    (0.375, 149181)
137000    (0.359375, 165095)
138000    (0.34375, 168460)
139000    (0.40625, 152177)
140000    (0.375, 162847)
141000    (0.390625, 170128)
142000    (0.359375, 146981)
143000    (0.453125, 178661)
144000    (0.5, 166627)
145000    (0.453125, 169288)
146000    (0.484375, 158404)
147000    (0.421875, 173801)
148000    (0.453125, 155224)
149000    (0.390625, 185504)
150000    (0.375, 186551)
