1000    (0.046875, 260461)
1500    (0.078125, 560539)
2000    (0.125, 981546)
2500    (0.203125, 1572491)
3000    (0.296875, 2274797)
3500    (0.375, 3080809)
4000    (0.5, 3996684)
4500    (0.578125, 5011684)
5000    (0.75, 6297085)
5500    (1.015625, 7616753)
6000    (1.1875, 9030363)
6500    (1.40625, 10556216)
7000    (1.609375, 12333770)
7500    (1.765625, 13935478)
8000    (2.078125, 16055599)
8500    (2.21875, 17947701)
9000    (2.609375, 20454026)
9500    (2.8125, 22264528)
10000    (3.203125, 24918486)
