100000    (0.015625, 99999)
105000    (0.015625, 104999)
110000    (0.015625, 109999)
115000    (0.015625, 114999)
120000    (0.015625, 119999)
125000    (0.03125, 124999)
130000    (0.015625, 129999)
135000    (0.015625, 134999)
140000    (0.015625, 139999)
145000    (0.015625, 144999)
150000    (0.015625, 149999)
155000    (0.03125, 154999)
160000    (0.03125, 159999)
165000    (0.015625, 164999)
170000    (0.015625, 169999)
175000    (0.015625, 174999)
180000    (0.03125, 179999)
185000    (0.015625, 184999)
190000    (0.015625, 189999)
195000    (0.03125, 194999)
200000    (0.03125, 199999)
205000    (0.03125, 204999)
210000    (0.015625, 209999)
215000    (0.015625, 214999)
220000    (0.03125, 219999)
225000    (0.046875, 224999)
230000    (0.03125, 229999)
235000    (0.03125, 234999)
240000    (0.03125, 239999)
245000    (0.03125, 244999)
250000    (0.03125, 249999)
255000    (0.03125, 254999)
260000    (0.03125, 259999)
265000    (0.03125, 264999)
270000    (0.046875, 269999)
275000    (0.03125, 274999)
280000    (0.03125, 279999)
285000    (0.046875, 284999)
290000    (0.03125, 289999)
295000    (0.046875, 294999)
300000    (0.046875, 299999)
305000    (0.046875, 304999)
310000    (0.03125, 309999)
315000    (0.046875, 314999)
320000    (0.03125, 319999)
325000    (0.046875, 324999)
330000    (0.046875, 329999)
335000    (0.046875, 334999)
340000    (0.046875, 339999)
345000    (0.0625, 344999)
350000    (0.046875, 349999)
355000    (0.0625, 354999)
360000    (0.046875, 359999)
365000    (0.046875, 364999)
370000    (0.0625, 369999)
375000    (0.046875, 374999)
380000    (0.0625, 379999)
385000    (0.0625, 384999)
390000    (0.046875, 389999)
395000    (0.0625, 394999)
400000    (0.046875, 399999)
405000    (0.046875, 404999)
410000    (0.0625, 409999)
415000    (0.0625, 414999)
420000    (0.0625, 419999)
425000    (0.078125, 424999)
430000    (0.046875, 429999)
435000    (0.0625, 434999)
440000    (0.0625, 439999)
445000    (0.0625, 444999)
450000    (0.0625, 449999)
455000    (0.0625, 454999)
460000    (0.0625, 459999)
465000    (0.0625, 464999)
470000    (0.078125, 469999)
475000    (0.0625, 474999)
480000    (0.078125, 479999)
485000    (0.078125, 484999)
490000    (0.078125, 489999)
495000    (0.078125, 494999)
500000    (0.078125, 499999)
505000    (0.0625, 504999)
510000    (0.0625, 509999)
515000    (0.09375, 514999)
520000    (0.078125, 519999)
525000    (0.078125, 524999)
530000    (0.078125, 529999)
535000    (0.0625, 534999)
540000    (0.078125, 539999)
545000    (0.0625, 544999)
550000    (0.078125, 549999)
555000    (0.078125, 554999)
560000    (0.078125, 559999)
565000    (0.078125, 564999)
570000    (0.078125, 569999)
575000    (0.078125, 574999)
580000    (0.078125, 579999)
585000    (0.078125, 584999)
590000    (0.09375, 589999)
595000    (0.078125, 594999)
600000    (0.078125, 599999)
605000    (0.09375, 604999)
610000    (0.09375, 609999)
615000    (0.078125, 614999)
620000    (0.09375, 619999)
625000    (0.09375, 624999)
630000    (0.09375, 629999)
635000    (0.09375, 634999)
640000    (0.140625, 639999)
645000    (0.09375, 644999)
650000    (0.09375, 649999)
655000    (0.078125, 654999)
660000    (0.09375, 659999)
665000    (0.09375, 664999)
670000    (0.09375, 669999)
675000    (0.09375, 674999)
680000    (0.09375, 679999)
685000    (0.09375, 684999)
690000    (0.09375, 689999)
695000    (0.09375, 694999)
700000    (0.09375, 699999)
705000    (0.109375, 704999)
710000    (0.09375, 709999)
715000    (0.09375, 714999)
720000    (0.125, 719999)
725000    (0.109375, 724999)
730000    (0.09375, 729999)
735000    (0.09375, 734999)
740000    (0.09375, 739999)
745000    (0.09375, 744999)
750000    (0.09375, 749999)
755000    (0.109375, 754999)
760000    (0.109375, 759999)
765000    (0.09375, 764999)
770000    (0.109375, 769999)
775000    (0.109375, 774999)
780000    (0.109375, 779999)
785000    (0.109375, 784999)
790000    (0.109375, 789999)
795000    (0.109375, 794999)
800000    (0.09375, 799999)
805000    (0.109375, 804999)
810000    (0.109375, 809999)
815000    (0.125, 814999)
820000    (0.125, 819999)
825000    (0.125, 824999)
830000    (0.109375, 829999)
835000    (0.109375, 834999)
840000    (0.125, 839999)
845000    (0.109375, 844999)
850000    (0.125, 849999)
855000    (0.109375, 854999)
860000    (0.125, 859999)
865000    (0.125, 864999)
870000    (0.109375, 869999)
875000    (0.125, 874999)
880000    (0.15625, 879999)
885000    (0.109375, 884999)
890000    (0.125, 889999)
895000    (0.171875, 894999)
900000    (0.125, 899999)
905000    (0.140625, 904999)
910000    (0.140625, 909999)
915000    (0.15625, 914999)
920000    (0.125, 919999)
925000    (0.140625, 924999)
930000    (0.140625, 929999)
935000    (0.140625, 934999)
940000    (0.140625, 939999)
945000    (0.125, 944999)
950000    (0.140625, 949999)
955000    (0.140625, 954999)
960000    (0.140625, 959999)
965000    (0.125, 964999)
970000    (0.140625, 969999)
975000    (0.140625, 974999)
980000    (0.125, 979999)
985000    (0.125, 984999)
990000    (0.140625, 989999)
995000    (0.140625, 994999)
1000000    (0.15625, 999999)
